id,x,y
1,1.0,5.5
2,-1.0,0.5
3,2.5,3.5
4,1.5,5.5
5,0.5,5.5
6,2.5,0.0
7,0.5,1.0
8,3.5,0.0
9,4.0,7.5
10,-1.0,5.5
11,2.5,6.0
12,-0.5,4.5
13,2.0,4.0
14,1.5,2.0
15,0.0,3.5
16,3.0,1.5
17,1.0,-1.0
18,3.0,0.5
19,3.0,-1.0
20,5.0,1.0
21,4.0,2.5
22,4.0,2.0
23,2.5,2.0
24,3.0,2.0
25,5.0,6.0
26,3.5,2.5
27,-0.5,6.5
28,0.0,1.0
29,4.0,6.5
30,-1.0,1.5
31,0.0,6.0
32,3.5,5.0
33,1.5,-1.0
34,-0.5,0.0
35,0.0,2.0
36,0.0,4.0
37,-0.5,1.5
38,0.5,5.0
39,2.0,8.0
40,1.5,2.5
41,2.0,4.5
42,0.5,8.0
43,4.5,-1.0
44,3.0,3.5
45,5.0,0.5
46,-0.5,3.0
47,-0.5,-0.5
48,4.0,0.0
49,4.5,2.5
50,4.5,5.5
51,5.0,4.0
52,4.0,8.0
53,2.5,3.0
54,2.0,7.5
55,5.0,7.5
56,1.5,0.0
57,1.0,7.5
58,0.0,0.5
59,2.0,0.5
60,0.0,5.0
61,5.0,5.5
62,1.5,4.0
63,3.5,-0.5
64,-0.5,2.0
65,5.0,6.5
66,1.5,1.5
67,4.0,0.5
68,1.5,5.0
69,2.5,8.0
70,0.0,-1.0
71,2.5,-0.5
72,4.0,4.0
73,0.0,0.0
74,-1.0,2.0
75,3.0,8.0
76,2.0,6.5
77,1.0,0.0
78,-1.0,7.0
79,1.5,6.0
80,4.0,6.0
81,4.5,7.5
82,0.0,7.5
83,4.5,0.0
84,2.5,-1.0
85,3.5,4.0
86,0.0,4.5
87,1.0,8.0
88,1.5,3.5
89,3.5,2.0
90,4.0,1.0
91,5.0,1.5
92,1.0,4.5
93,2.5,6.5
94,-1.0,6.0
95,2.0,1.0
96,3.0,1.0
97,5.0,4.5
98,4.0,5.5
99,-1.0,-1.0
100,1.5,4.5
